Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
80,1293792,3,7,26,11607,20,0,8.666666667,10.26320288,5840,0,1658.142857,2137.29708,8991.398927,7.72921768,143754.6667,430865.8067,1292730,2,747,373.5,523.9661249,744,3,1293746,215624.3333,527671.9348,1292730,2,0,0,0,0,72,152,2.318765304,5.410452376,0,5840,1057.545455,1853.437529,3435230.673,0,0,0,1,0,0,0,0,2,1163.3,8.666666667,1658.142857,72,0,0,0,0,0,0,3,26,7,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,4421382,4,0,24,0,6,6,6,0,0,0,0,0,5.42816703,0.904694505,1473794,2552042.631,4420639,340,4421382,1473794,2552042.631,4420639,340,0,0,0,0,0,0,0,0,0,80,0,0.904694505,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0,0,0,0,0,0,0,0,DDoS
80,1083538,3,6,26,11601,20,0,8.666666667,10.26320288,4380,0,1933.5,1757.789948,10730.58813,8.306123089,135442.25,377725.315,1070206,41,12982,6491,8165.669109,12265,717,1083407,216681.4,477167.0977,1070206,41,0,0,0,0,72,132,2.768707696,5.537415393,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,80034360,8,4,56,11601,20,0,7,5.656854249,8760,0,2900.25,4128.319301,145.6499433,0.149935603,7275850.909,21100000,70600000,6,78700000,11200000,26300000,70600000,247,1354806,451602,777575.2592,1349464,190,0,0,0,0,172,92,0.099957068,0.049978534,0,8760,897.1538462,2488.507044,6192667.308,0,0,0,0,1,0,0,0,0,971.9166667,7,2900.25,172,0,0,0,0,0,0,8,56,4,11601,256,229,6,20,939,0,939,939,39300000,44200000,70600000,8072664,DDoS
80,642654,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,18101.49785,14.0044254,80331.75,226824.6943,641694,3,801,400.5,540.9366876,783,18,642493,128498.6,286885.1169,641694,3,0,0,0,0,72,132,4.668141799,9.336283599,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,79731718,8,5,56,11601,20,0,7,5.656854249,5840,0,2320.2,2436.833027,146.2027947,0.163046781,6644309.833,20300000,70600000,44,78400000,11200000,26400000,70600000,183,1357061,339265.25,675686.8666,1352792,138,0,0,0,0,172,112,0.100336481,0.062710301,0,5840,833.0714286,1774.906302,3150292.379,0,0,0,0,1,0,0,0,0,897.1538462,7,2320.2,172,0,0,0,0,0,0,8,56,5,11601,256,229,6,20,911,0,911,911,39200000,44400000,70600000,7766504,DDoS
80,306157,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,37996.84476,29.39668209,38269.625,107926.2565,305373,3,649,324.5,432.0422433,630,19,306140,61228,136481.48,305373,3,0,0,0,0,72,132,9.798894031,19.59778806,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,79780371,8,4,56,11607,20,0,7,5.656854249,11595,0,2901.75,5795.50069,146.1888414,0.150412938,7252761,21300000,71100000,60,78900000,11300000,26500000,71100000,60,908641,302880.3333,522433.2157,906133,191,0,0,0,0,172,92,0.100275292,0.050137646,0,11595,897.6153846,3214.167532,10300000,0,0,0,0,1,0,0,0,0,972.4166667,7,2901.75,172,0,0,0,0,0,0,8,56,4,11607,256,229,6,20,877,0,877,877,39400000,44800000,71100000,7755492,DDoS
80,682575,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,17042.81581,11.72032377,97510.71429,257484.0143,681429,1,1047,523.5,738.9265863,1046,1,682523,170630.75,340532.4613,681429,4,0,0,0,0,72,112,4.395121415,7.325202359,0,10135,1292.555556,3350.634907,11200000,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,79098660,8,6,56,11607,20,0,7,5.656854249,5840,0,1934.5,2538.919278,147.4487684,0.176994149,6084512.308,19600000,71100000,47,78200000,11200000,26600000,71100000,81,908504,181700.8,404872.5987,905957,47,0,0,0,0,172,132,0.101139514,0.075854635,0,5840,777.9333333,1804.898987,3257660.352,0,0,0,0,1,0,0,0,0,833.5,7,1934.5,172,0,0,0,0,0,0,8,56,6,11607,256,229,6,20,739,0,739,739,39100000,45300000,71100000,7073920,DDoS
80,670265,3,6,26,11607,20,0,8.666666667,10.26320288,4380,0,1934.5,2177.344966,17355.82195,13.42752493,83783.125,236570.5187,669265,3,868,434,609.5260454,865,3,670104,134020.8,299210.7799,669265,3,0,0,0,0,72,132,4.475841645,8.951683289,0,4380,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,79099557,7,6,50,11607,20,0,7.142857143,6.094494002,4380,0,1934.5,2177.344966,147.3712425,0.164349846,6591629.75,20400000,71100000,17,78200000,13000000,28600000,71100000,216,908620,181724,404327.3646,905004,17,0,0,0,0,152,132,0.088496071,0.075853775,0,4380,833.0714286,1674.294362,2803261.61,0,0,0,0,1,0,0,0,0,897.1538462,7.142857143,1934.5,152,0,0,0,0,0,0,7,50,6,11607,256,229,5,20,888,0,888,888,39100000,45300000,71100000,7071788,DDoS
80,1270646,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,9155.18563,7.083011319,158830.75,448864.6618,1269714,3,751,375.5,460.3265146,701,50,1270568,254113.6,567737.9625,1269714,3,0,0,0,0,72,132,2.361003773,4.722007546,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,77818286,8,6,56,11601,20,0,7,5.656854249,7300,0,1933.5,2720.783986,149.7976966,0.179906301,5986022,19600000,71100000,1,76900000,11000000,26600000,71100000,1,906052,181210.4,402410.616,901058,171,0,0,0,0,172,132,0.102803601,0.077102701,0,7300,777.5333333,1896.917457,3598295.838,0,0,0,0,1,0,0,0,0,833.0714286,7,1933.5,172,0,0,0,0,0,0,8,56,6,11601,256,229,6,20,891,0,891,891,38500000,46200000,71100000,5790338,DDoS
80,1281820,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,9075.377198,7.021266637,160227.5,452919.5003,1281146,3,547,273.5,381.1305551,543,4,1281776,256355.2,572875.5212,1281146,3,0,0,0,0,72,132,2.340422212,4.680844424,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,77807512,8,6,56,11607,20,0,7,5.656854249,5840,0,1934.5,2538.919278,149.8955525,0.179931213,5985193.231,19600000,71100000,3,76900000,11000000,26600000,71100000,17,890011,178002.2,397582.9409,889220,3,0,0,0,0,172,132,0.102817836,0.077113377,0,5840,777.9333333,1804.898987,3257660.352,0,0,0,0,1,0,0,0,0,833.5,7,1934.5,172,0,0,0,0,0,0,8,56,6,11607,256,229,6,20,870,0,870,870,38500000,46200000,71100000,5777267,DDoS
80,13724,3,6,26,11601,20,0,8.666666667,10.26320288,4380,0,1933.5,1757.789948,847201.9819,655.7854853,1715.5,4102.197181,11845,15,12891,6445.5,7636.04613,11845,1046,13559,2711.8,5698.54356,12902,15,0,0,0,0,72,132,218.5951618,437.1903235,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
