Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
80,5216127,3,1,0,0,0,0,0,0,0,0,0,0,0,0.766852494,1738709,3010454.167,5214882,124,5216127,2608063.5,3686598.077,5214882,1245,0,0,0,0,0,0,0,0,0,104,40,0.575139371,0.191713124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,FTP-Patator
21,20,1,1,0,0,0,0,0,0,0,0,0,0,0,100000,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,50000,50000,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,229,227,0,32,0,0,0,0,0,0,0,0,FTP-Patator
21,38,1,1,0,0,0,0,0,0,0,0,0,0,0,52631.57895,38,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26315.78947,26315.78947,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,229,227,0,32,0,0,0,0,0,0,0,0,FTP-Patator
21,80,1,1,0,0,0,0,0,0,0,0,0,0,0,25000,80,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,12500,12500,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,229,227,0,32,0,0,0,0,0,0,0,0,FTP-Patator
21,68,1,1,0,0,0,0,0,0,0,0,0,0,0,29411.76471,68,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,14705.88235,14705.88235,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,229,227,0,32,0,0,0,0,0,0,0,0,FTP-Patator
21,47,1,1,0,0,0,0,0,0,0,0,0,0,0,42553.19149,47,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,21276.59574,21276.59574,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,229,227,0,32,0,0,0,0,0,0,0,0,FTP-Patator
21,83,1,1,0,0,0,0,0,0,0,0,0,0,0,24096.38554,83,0,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,12048.19277,12048.19277,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,229,227,0,32,0,0,0,0,0,0,0,0,FTP-Patator
21,265,2,1,14,0,14,0,7,9.899494937,0,0,0,0,52830.18868,11320.75472,132.5,71.4177849,183,82,265,265,0,265,265,0,0,0,0,0,1,0,0,0,64,20,7547.169811,3773.584906,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7,0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0,0,0,FTP-Patator
21,3302859,6,6,36,76,22,0,6,9.633275663,34,0,12.66666667,14.67878287,33.91001554,3.63321595,300259.9091,977989.9797,3248752,3,3302859,660571.8,1471692.192,3293208,3,3302056,660411.2,1447040.35,3248752,3,0,0,0,0,200,200,1.816607975,1.816607975,0,34,8.615384615,12.09365165,146.2564103,0,0,0,1,0,0,0,0,1,9.333333333,6,12.66666667,200,0,0,0,0,0,0,6,36,6,76,29200,227,2,32,0,0,0,0,0,0,0,0,FTP-Patator
21,3,2,0,14,0,14,0,7,9.899494937,0,0,0,0,4666666.667,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,64,0,666666.6667,0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14,7,0,64,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0,0,0,0,0,0,0,0,FTP-Patator
21,215,2,1,14,0,14,0,7,9.899494937,0,0,0,0,65116.27907,13953.48837,107.5,120.9152596,193,22,215,215,0,215,215,0,0,0,0,0,1,0,0,0,64,20,9302.325581,4651.162791,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7,0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0,0,0,FTP-Patator
21,289,2,1,14,0,14,0,7,9.899494937,0,0,0,0,48442.90657,10380.62284,144.5,101.1162697,216,73,289,289,0,289,289,0,0,0,0,0,1,0,0,0,64,20,6920.415225,3460.207612,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7,0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0,0,0,FTP-Patator
21,6543160,8,10,68,132,22,0,8.5,9.426406678,34,0,13.2,14.67272602,30.56627073,2.750964366,384891.7647,1069358.783,3270044,3,6543160,934737.1429,1594751.48,3314868,246,6540117,726679.6667,1416968.47,3270044,3,0,0,0,0,264,328,1.222650829,1.528313537,0,34,10.52631579,12.41579827,154.1520468,0,0,0,1,0,0,0,0,1,11.11111111,8.5,13.2,264,0,0,0,0,0,0,8,68,10,132,29200,227,4,32,0,0,0,0,0,0,0,0,FTP-Patator
