Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
80,5169956,8,6,1101,4222,410,0,137.625,185.7586279,3525,0,703.6666667,1395.868284,1029.602573,2.707953414,397688.9231,1368409.299,4951173,112,218783,31254.71429,30686.29396,78311,219,5169833,1033966.6,2218975.06,5002421,840,0,0,0,0,172,132,1.547401951,1.160551463,0,3525,354.8666667,895.1151456,801231.1238,0,0,0,1,0,0,0,0,0,380.2142857,137.625,703.6666667,172,0,0,0,0,0,0,8,1101,6,4222,8192,254,7,20,0,0,0,0,0,0,0,0,DoS slowloris
80,229,2,0,12,0,6,6,6,0,0,0,0,0,52401.74672,8733.624454,229,0,229,229,229,229,0,229,229,0,0,0,0,0,0,0,0,0,40,0,8733.624454,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,253,-1,1,20,0,0,0,0,0,0,0,0,DoS slowloris
80,5001928,3,1,12,0,6,0,4,3.464101615,0,0,0,0,2.399074917,0.799691639,1667309.333,2886995.878,5000925,127,5001928,2500964,3535478.752,5000925,1003,0,0,0,0,0,0,0,0,0,72,32,0.599768729,0.19992291,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3,4,0,72,0,0,0,0,0,0,3,12,1,0,8192,29200,2,20,0,0,0,0,0,0,0,0,DoS slowloris
80,5125872,8,7,1659,2514,467,0,207.375,221.2780652,1047,0,359.1428571,420.18386,814.1053854,2.926331364,366133.7143,1320784.35,4954614,73,171258,24465.42857,21945.24622,57169,1001,5125743,854290.5,2033515.304,5004981,2049,0,0,0,0,172,152,1.560710061,1.365621303,0,1047,260.8125,322.5548468,104041.6292,0,0,0,1,0,0,0,0,0,278.2,207.375,359.1428571,172,0,0,0,0,0,0,8,1659,7,2514,8192,262,7,20,0,0,0,0,0,0,0,0,DoS slowloris
80,214,2,0,12,0,6,6,6,0,0,0,0,0,56074.76636,9345.794393,214,0,214,214,214,214,0,214,214,0,0,0,0,0,0,0,0,0,40,0,9345.794393,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,253,-1,1,20,0,0,0,0,0,0,0,0,DoS slowloris
80,5001683,3,1,0,0,0,0,0,0,0,0,0,0,0,0.799730811,1667227.667,2886874.343,5000703,137,5001683,2500841.5,3535338.037,5000703,980,0,0,0,0,0,0,0,0,0,104,40,0.599798108,0.199932703,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,DoS slowloris
80,507096,6,1,693,0,231,0,115.5,126.5239108,0,0,0,0,1366.60514,13.80409232,84516,98191.09611,200175,17,507096,101419.2,99543.87168,200175,140,0,0,0,0,0,0,0,0,0,200,40,11.83207913,1.972013189,0,231,86.625,119.5538582,14293.125,0,0,0,1,0,0,0,0,0,99,115.5,0,200,0,0,0,0,0,0,6,693,1,0,29200,28960,3,32,0,0,0,0,0,0,0,0,DoS slowloris
80,507376,6,1,693,0,231,0,115.5,126.5239108,0,0,0,0,1365.850967,13.79647441,84562.66667,98234.03029,200174,16,507376,101475.2,99584.92208,200174,187,0,0,0,0,0,0,0,0,0,200,40,11.82554949,1.970924916,0,231,86.625,119.5538582,14293.125,0,0,0,1,0,0,0,0,0,99,115.5,0,200,0,0,0,0,0,0,6,693,1,0,29200,28960,3,32,0,0,0,0,0,0,0,0,DoS slowloris
80,507477,6,1,693,0,231,0,115.5,126.5239108,0,0,0,0,1365.57913,13.79372858,84579.5,98215.06552,199941,32,507477,101495.4,99557.25546,199941,394,0,0,0,0,0,0,0,0,0,200,40,11.82319593,1.970532655,0,231,86.625,119.5538582,14293.125,0,0,0,1,0,0,0,0,0,99,115.5,0,200,0,0,0,0,0,0,6,693,1,0,29200,28960,3,32,0,0,0,0,0,0,0,0,DoS slowloris
80,507581,6,1,693,0,231,0,115.5,126.5239108,0,0,0,0,1365.299332,13.79090234,84596.83333,98164.08896,200175,61,507581,101516.2,99490.00268,200175,469,0,0,0,0,0,0,0,0,0,200,40,11.82077343,1.970128906,0,231,86.625,119.5538582,14293.125,0,0,0,1,0,0,0,0,0,99,115.5,0,200,0,0,0,0,0,0,6,693,1,0,29200,28960,3,32,0,0,0,0,0,0,0,0,DoS slowloris
80,507661,4,2,231,0,231,0,57.75,115.5,0,0,0,0,455.0280601,11.81891065,101532.2,226626.5613,506934,33,507661,169220.3333,292511.0919,506983,182,694,694,0,694,694,0,0,0,0,136,72,7.879273767,3.939636884,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,136,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
80,508102,4,2,231,0,231,0,57.75,115.5,0,0,0,0,454.6331248,11.80865259,101620.4,226715.3456,507181,44,508102,169367.3333,292601.9971,507235,341,877,877,0,877,877,0,0,0,0,136,72,7.872435062,3.936217531,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,136,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
80,508471,4,2,231,0,231,0,57.75,115.5,0,0,0,0,454.3031953,11.80008299,101694.2,226897.8297,507581,37,508471,169490.3333,292836.0617,507628,37,842,842,0,842,842,0,0,0,0,136,72,7.866721996,3.933360998,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,136,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
80,508142,4,2,231,0,231,0,57.75,115.5,0,0,0,0,454.597337,11.80772304,101628.4,226890.8984,507503,1,508142,169380.6667,292908.3903,507602,1,622,622,0,622,622,0,0,0,0,136,72,7.871815359,3.935907679,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,136,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
80,508780,4,2,231,0,231,0,57.75,115.5,0,0,0,0,454.0272809,11.79291639,101756,226855.963,507568,32,508780,169593.3333,292728.4251,507607,545,1180,1180,0,1180,1180,0,0,0,0,136,72,7.861944259,3.930972129,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,136,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
80,508971,4,2,231,0,231,0,57.75,115.5,0,0,0,0,453.8568995,11.7884909,101794.2,227128.0669,508093,50,508971,169657,293174.8689,508186,91,828,828,0,828,828,0,0,0,0,136,72,7.858993931,3.929496965,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,136,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
80,508802,4,2,231,0,231,0,57.75,115.5,0,0,0,0,454.0076493,11.79240648,101760.4,226945.1161,507732,48,508802,169600.6667,292871.9244,507780,377,973,973,0,973,973,0,0,0,0,136,72,7.861604318,3.930802159,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,136,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
80,509005,4,2,231,0,231,0,57.75,115.5,0,0,0,0,453.8265832,11.78770346,101801,227209.2703,508245,18,509005,169668.3333,293252.5658,508287,18,727,727,0,727,727,0,0,0,0,136,72,7.858468974,3.929234487,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,136,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
80,509755,4,2,231,0,231,0,57.75,115.5,0,0,0,0,453.1588704,11.77036027,101951,227478.0883,508876,35,509755,169918.3333,293576.3144,508911,245,835,835,0,835,835,0,0,0,0,136,72,7.846906847,3.923453424,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,136,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
80,509858,4,2,231,0,231,0,57.75,115.5,0,0,0,0,453.0673246,11.76798246,101971.6,227599.1032,509113,22,509858,169952.6667,293740.6688,509135,63,710,710,0,710,710,0,0,0,0,136,72,7.845321639,3.922660819,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,136,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
80,509869,4,2,231,0,231,0,57.75,115.5,0,0,0,0,453.0575501,11.76772857,101973.8,227519.0043,508972,74,509869,169956.3333,293688.0921,509078,137,823,823,0,823,823,0,0,0,0,136,72,7.845152382,3.922576191,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,136,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
80,510596,4,2,231,0,231,0,57.75,115.5,0,0,0,0,452.4124748,11.75097337,102119.2,227897.77,509795,23,510596,170198.6667,294154.5058,509859,239,778,778,0,778,778,0,0,0,0,136,72,7.833982248,3.916991124,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,136,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
80,509955,4,2,231,0,231,0,57.75,115.5,0,0,0,0,452.9811454,11.76574404,101991,227585.4517,509108,68,509955,169985,293753.3916,509182,68,775,775,0,775,775,0,0,0,0,136,72,7.843829357,3.921914679,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,136,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
80,510695,4,2,231,0,231,0,57.75,115.5,0,0,0,0,452.3247731,11.74869541,102139,227974.4759,509952,44,510695,170231.6667,294253.2767,510006,138,699,699,0,699,699,0,0,0,0,136,72,7.832463604,3.916231802,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,136,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
80,510943,4,2,231,0,231,0,57.75,115.5,0,0,0,0,452.105225,11.74299286,102188.6,228112.8387,510249,4,510943,170314.3333,294421.6823,510283,4,649,649,0,649,649,0,0,0,0,136,72,7.828661906,3.914330953,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,136,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
80,38308,1,1,6,6,6,6,6,0,6,6,6,0,313.250496,52.208416,38308,0,38308,38308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,26.104208,26.104208,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,255,946,0,20,0,0,0,0,0,0,0,0,BENIGN
389,479,11,5,172,326,79,0,15.63636364,31.4492376,163,0,65.2,89.27877687,1039665.971,33402.92276,31.93333333,25.51040871,73,0,479,47.9,38.9428356,109,1,401,100.25,101.7361784,237,3,0,0,0,0,368,176,22964.50939,10438.41336,0,163,29.29411765,56.52959922,3195.595588,0,0,0,1,0,0,0,0,0,31.125,15.63636364,65.2,368,0,0,0,0,0,0,11,172,5,326,29200,260,4,32,0,0,0,0,0,0,0,0,BENIGN
88,1095,10,6,3150,3150,1575,0,315,632.5616351,1575,0,525,813.3265027,5753424.658,14611.87215,73,204.9609719,810,1,1095,121.6666667,298.7461297,915,1,995,199,345.5350923,810,3,0,0,0,0,336,208,9132.420091,5479.452055,0,1575,370.5882353,671.7515406,451250.1324,0,0,0,1,0,0,0,0,0,393.75,315,525,336,0,0,0,0,0,0,10,3150,6,3150,29200,2081,3,32,0,0,0,0,0,0,0,0,BENIGN
389,15206,17,12,3452,6660,1313,0,203.0588235,425.7784739,3069,0,555,977.4803416,665000.6576,1907.141918,543.0714286,2519.931377,13391,0,15206,950.375,3322.417812,13391,2,15112,1373.818182,4176.449588,13961,3,0,0,0,0,560,388,1117.979745,789.1621728,0,3069,337.0666667,704.6540816,496537.3747,0,0,0,1,0,0,0,0,0,348.6896552,203.0588235,555,560,0,0,0,0,0,0,17,3452,12,6660,29200,0,10,32,0,0,0,0,0,0,0,0,BENIGN
88,1092,9,6,3150,3152,1575,0,350,694.5097192,1576,0,525.3333333,813.8429005,5771062.271,13736.26374,78,207.000929,794,1,1092,136.5,313.850738,910,1,1015,203,333.2401536,794,3,0,0,0,0,304,208,8241.758242,5494.505495,0,1576,393.875,704.585067,496440.1167,0,0,0,1,0,0,0,0,0,420.1333333,350,525.3333333,304,0,0,0,0,0,0,9,3150,6,3152,29200,2081,2,32,0,0,0,0,0,0,0,0,BENIGN
389,433,11,4,172,326,79,0,15.63636364,31.4492376,163,0,81.5,94.10809388,1150115.473,34642.03233,30.92857143,27.74461635,74,0,433,43.3,41.79859115,109,0,222,74,126.439709,220,1,0,0,0,0,368,144,25404.15704,9237.875289,0,163,31.125,57.86060836,3347.85,0,0,0,1,0,0,0,0,0,33.2,15.63636364,81.5,368,0,0,0,0,0,0,11,172,4,326,29200,2081,4,32,0,0,0,0,0,0,0,0,BENIGN
88,1088,9,6,3150,3152,1575,0,350,694.5097192,1576,0,525.3333333,813.8429005,5792279.412,13786.76471,77.71428571,210.3771078,805,2,1088,136,293.8517605,860,3,1014,202.8,342.1347688,805,2,0,0,0,0,304,208,8272.058824,5514.705882,0,1576,393.875,704.585067,496440.1167,0,0,0,1,0,0,0,0,0,420.1333333,350,525.3333333,304,0,0,0,0,0,0,9,3150,6,3152,29200,2081,2,32,0,0,0,0,0,0,0,0,BENIGN
80,579225,132,150,160,320799,160,0,1.212121212,13.92621248,4344,0,2138.66,831.8348267,554118.0025,486.8574388,2061.298932,12214.52594,94632,0,579225,4421.564885,17683.93123,95158,1,483900,3247.651007,15697.10339,94740,2,0,0,0,0,4232,4808,227.890716,258.9667228,0,4344,1134.130742,1227.920672,1507789.178,0,0,0,1,0,0,0,0,1,1138.152482,1.212121212,2138.66,4232,0,0,0,0,0,0,132,160,150,320799,29200,237,1,32,0,0,0,0,0,0,0,0,BENIGN
49666,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,6,6,6,0,0,0,0,0,0,1,1,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,253,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
49413,4,3,0,18,0,6,6,6,0,0,0,0,0,4500000,750000,2,1.414213562,3,1,4,2,1.414213562,3,1,0,0,0,0,0,0,0,0,0,60,0,750000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,8,6,0,60,0,0,0,0,0,0,3,18,0,0,2052,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
88,1080,9,6,3130,3124,1565,0,347.7777778,690.1001336,1562,0,520.6666667,806.6133316,5790740.741,13888.88889,77.14285714,212.1145761,811,1,1080,135,308.0987782,894,1,993,198.6,345.9498519,811,3,0,0,0,0,304,208,8333.333333,5555.555556,0,1565,390.875,699.2188856,488907.05,0,0,0,1,0,0,0,0,0,416.9333333,347.7777778,520.6666667,304,0,0,0,0,0,0,9,3130,6,3124,29200,260,2,32,0,0,0,0,0,0,0,0,BENIGN
389,5008522,39,26,5996,10284,403,0,153.7435897,139.3017773,1173,126,395.5384615,344.6042636,3250.459916,12.9778805,78258.15625,387630.6852,2673701,3,5008522,131803.2105,498594.8965,2673701,3,3570045,142801.8,559237.1266,2715645,3,1,0,0,0,1248,832,7.7867283,5.1911522,0,1173,249.5151515,266.6626934,71108.99207,0,1,0,0,1,0,0,0,0,253.3538462,153.7435897,395.5384615,1248,0,0,0,0,0,0,39,5996,26,10284,367,2078,25,32,0,0,0,0,0,0,0,0,BENIGN
3268,4955405,33,24,4990,5060,403,0,151.2121212,120.1469823,242,72,210.8333333,63.43477764,2028.088522,11.50259161,88489.375,415887.6335,2716857,1,4955405,154856.4063,544298.365,2716857,1,3520965,153085.4348,583284.1464,2717127,48,1,0,0,0,1056,768,6.659395145,4.843196469,0,403,180.2241379,107.1457514,11480.21204,0,1,0,0,1,0,0,0,0,183.3859649,151.2121212,210.8333333,1056,0,0,0,0,0,0,33,4990,24,5060,299,2077,23,32,0,0,0,0,0,0,0,0,BENIGN
443,274441,12,14,5763,16108,3425,0,480.25,1016.589944,3121,0,1150.571429,863.040307,79692.90303,94.73803113,10977.64,19256.03424,52399,14,274427,24947.90909,30158.77837,87669,51,228316,17562.76923,28235.11155,75974,48,0,0,0,0,252,292,43.72524513,51.01278599,0,3425,810.037037,973.4094119,947525.8832,0,0,0,1,0,0,0,0,1,841.1923077,480.25,1150.571429,252,0,0,0,0,0,0,12,5763,14,16108,8192,256,11,20,0,0,0,0,0,0,0,0,BENIGN
443,4,2,0,91,0,85,6,45.5,55.86143571,0,0,0,0,22800000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,1,0,0,0,40,0,500000,0,6,85,58.66666667,45.61067127,2080.333333,0,1,0,0,1,0,0,0,0,88,45.5,0,40,0,0,0,0,0,0,2,91,0,0,256,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
